|0000|005|0|01062012|30062012|KEMIRA CHEMICALS BRASIL LTDA|03944724000696||SP|336568073111|3518800|SIMULACAO||A|0|
|0001|0|
|0005|GUARULHOS|07215040|EST MUNICIPAL,      SL 3 MOD.B4B5B6|1156|SALA 03 MODULOS B4 B5 E B6|JD SANTO AFONSO|0000000000|1134780846||
|0100|JULIANA GOVASKI BIRIBA|26986806876|1SP222409O3||04726170|AV ALFREDO EGIDIO DE S. ARANHA|100||CHAC.SANTO ANTONIO|0000000000|||3550308|
|0150|000082024000137|CIA SANEAMENTO AMBIENTAL DISTRITO FEDERAL|1058|00082024000137||0732466700167|5300108||AVENIDA SIBIPIRUNA|LOTES|15|AGUAS CLARAS|
|0150|000197898000130|PIRACEMA COMERCIAL LTDA|1058|00197898000130||114259396115|3547205||R. PIRACEMA|225||SANTANA|
|0150|000372496000124|CENTRAL ENERGETICA VALE DO SAPUCAI LTDA|1058|00372496000124||511004897115|3536307||ESTRADA DO MAROLO KM 25|S/N|ZONA RURAL|RURAL CHAGAS|
|0150|000425457000148|EKONOVA QUIMICA DO BRASIL LTDA|1058|00425457000148||255242000|4213203||RUA XV DE NOVEMBRO|5305||TESTO CENTRAL|
|0150|000546997000503|GALVANI IND COM E SERV S.A.|1058|00546997000503||48792703|2914604||FAZ TRIUNFO|S/N||RURAL|
|0150|000585900000148|FOZ DE LIMEIRA S.A.|1058|00585900000148||417129983118|3526902||RUA TIRADENTES|943||CENTRO|
|0150|000770937000146|RIOVIVO ENGENHARIA AMBIENTAL LTDA|1058|00770937000146||253728169|4202909||RODOVIA IVO SILVEIRA|690||STEFFEN|
|0150|000849796000151|SANITEX TECNOLOGIA EM PROD E SERVICO|1058|00849796000151||253099412|4202909||R: SAO PEDRO|2056||SAO PEDRO|
|0150|001009681000383|GE WATER & PROCESS TECHNOLOGIES DO BRASIL LTDA|1058|01009681000383||669313262110|3552205||AVENIDA PARANA|4900||CAJURU DO SUL|
|0150|001201289000170|CSJ - CIA DE SANEAMENTO DE JUNDIAI|1058|01201289000170|||3525904||ESTRADA DO VARJAO|4520||NOVO HORIZONTE|
|0150|001527330001417|CESARI EMP.MULTIMODAL DE MOV. DE MAT. LTDA|1058|01527330001417||672181070117|3552502||RUA FRANCISCO MARENGO|S/N||JARDIM REVISTA|
|0150|001678475000285|ART-ARA-TROP INDUSTRIAL COMERCIAL IMPORTAD E EXPORTAD LTDA|1058|01678475000285||399018674119|3550308||VIA ANHANGUERA KM 327.7|S/N||CENTRO|
|0150|001838723003142|BRF - BRASIL FOODS S.A.|1058|01838723003142||0650129032|4310207||RUA HERMANN WASSERMANN|606|SALA 01|SEDE|
|0150|001838723004700|BRF - BRASIL FOODS S.A.|1058|01838723004700||0720126444|4311403||RUA CARLOS SPOHR FILHO|2836||LAJEADO|
|0150|001838723009345|BRF - BRASIL FOODS S.A.|1058|01838723009345||131811053|5106224||RODOVIA BR, 163|163|KM 587|CENTRO|
|0150|001838723009698|BRF - BRASIL FOODS S.A.|1058|01838723009698||133406318|5105622||ROD. TRANSEFONICA|S/N -||MIRASSOL D'OESTE|
|0150|001838723011838|BRF - BRASIL FOODS S.A.|1058|01838723011838||9020384180|4104659||AVENIDA DOS PIONEIROS|2510||CARAMBEI|
|0150|001838723015400|BRF - BRASIL FOODS S.A.|1058|01838723015400||255770537|4203907||AC CIDADE ALTA|4700||CENTRO|
|0150|001838723017283|BRF - BRASIL FOODS S.A.|1058|01838723017283||102928908|5205000||RODOVIA BR-060|S/N|KM 394|SETOR INDUSTRIAL|
|0150|001838723018255|BRF - BRASIL FOODS S.A.|1058|01838723018255||103866310|5213103||RODOVIA GO 341 KM 2|5 S/N||ZONA ZURAL|
|0150|001838723018840|BRF - BRASIL FOODS S.A.|1058|01838723018840||104182075|5211909||RODOVIA BR 060|KM 04||SETOR CENTRAL|
|0150|001838723021396|BRF - BRASIL FOODS S.A.|1058|01838723021396||255773528|4219309||ROD. SC -453|KM 50||DIST INDUSTRIAL|
|0150|001838723022449|BRF - BRASIL FOODS S.A.|1058|01838723022449||250015609|4219309||RUA XV DE NOVEMBRO|S/N||CENTRO|
|0150|001838723025111|BRF - BRASIL FOODS S.A.|1058|01838723025111||0750052597|4311809||RODOVIA RS 324|S/N|KM 76|SANTA RITA|
|0150|001838723030972|BRF - BRASIL FOODS S.A.|1058|01838723030972||256198209|4203600||RODOVIA BR 282|S/N|KM 348 BLOCO 01|DISTRITO INDUSTRIAL|
